"club_name","city","address","phone_number","instagram","work_hours","rating","music_genre","bottle_service","club_id"
"The Secret Club","Zagreb","Draškovićeva ul. 41, 10000, Zagreb","099 625 1088","https://www.instagram.com/thesecretclub.zagreb/",1,"3.6","balkaton","[""Jack Daniels"",""Jameson"",""Belvedere"",""Grey Goose""]",1
"XO Club","Zagreb","Vlaška ul. 9","095 382 3998","https://www.instagram.com/xo.club.zg",2,"4.3","narodno",,2
"Gallery Club","Zagreb"," Aleja Matije Ljubeka","099 444 2444","https://www.instagram.com/galleryclub.zagreb",3,"3.7","narodno, strano",,3
"585 Club Bol","Bol","Put Zlatnog Rata 52B","091 233 3471","https://www.instagram.com/585club/",4,"3.3","strano",,4
"Mint - Club & More","Zagreb","Ul. Florijana Andrašeca 14","091 390 0707","https://www.instagram.com/mintzagreb/",5,"3.7","narodno","[""Absolut Blue vodka"",""Belvedere vodka"",""Grey Goose vodka"",""Beefeater 24 gin"",""Silent Pool gin"",""Hendrick's gin"",""Gin Mare"",""Hennessy V.S. Luminous\n"",""Jameson whiskey"",""Chivas Regal 15 YO whisky"",""Gentleman Jack whisky""]",5
"Restaurant & Night Club Urnebes","Zagreb","Trnjanska cesta 117","098 555 511","https://www.instagram.com/urnebes_nightclub/",6,"4.1","narodno",,6
"Ritz Club","Zagreb","Petrinjska ul. 4a","091 355 1355","https://www.instagram.com/ritzclubzg/",7,"3.2","narodno",,7
"Club H2O","Zagreb","Runjaninova ul. 3","091 510 0661","https://www.instagram.com/clubh2ozagreb/",8,"3.3","narodno",,8
"Aquarius club Zagreb","Zagreb","Aleja Matije Ljubeka 19","01 3640 231","https://www.instagram.com/aquariuszagreb/",9,"3.3","edm",,9
"Roko","Zagreb","Jarunska ul. 5, 10000, Zagreb","097 659 2000",,,"3.7",,,12